id,observed_on,taxon_name,common_name,iconic_taxon,place_guess,latitude,longitude,quality_grade,num_identification_agreements,user,url,photo_url
303210685,2025-08-02,Leccinellum pseudoscabrum,kozák hrabový,Fungi,"Dukla, Vyšná Pisaná, Prešovský kraj, SK",49.4120466667,21.599455,needs_id,0,Jaroslav Ilek,https://www.inaturalist.org/observations/303210685?locale=sk,https://static.inaturalist.org/photos/546485141/small.jpg
302913004,2025-08-01,Cuscuta epithymum,kukučina dúšková,Plantae,"Medvedie, Medvedie, Prešovský kraj, SK",49.4063916667,21.6348966667,research,1,Ludka Reiterova,https://www.inaturalist.org/observations/302913004?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545932045/small.jpg
332984970,2025-08-01,Rosalia alpina,fuzáč alpský,Insecta,Slovakia,49.2975915695,21.7699354851,research,3,Wojciech Okliński,https://www.inaturalist.org/observations/332984970?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/604434953/small.jpg
303662913,2025-08-01,Lacerta agilis,jašterica krátkohlavá,Reptilia,"Medvedie, 090 05 Medvedie, Slovensko",49.4050304801,21.631510444,research,4,Branislav Tej,https://www.inaturalist.org/observations/303662913?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547345163/small.jpg
303662833,2025-08-01,Calliptamus italicus,koník ružovokrídly,Insecta,"090 05 Medvedie, Slovensko",49.3974045252,21.630541496,research,1,Branislav Tej,https://www.inaturalist.org/observations/303662833?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547344984/small.jpg
303662769,2025-08-01,Macrogastra plicatula,bambuška škrbavá,Mollusca,"Vyšná Pisaná 090 01, 090 01 Vyšná Pisaná, Slovensko",49.3966704929,21.6225622594,needs_id,0,Branislav Tej,https://www.inaturalist.org/observations/303662769?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547344832/small.jpg
303662660,2025-08-01,Isognomostoma isognomostomos,zuboústka trojzubá,Mollusca,"090 01 Vyšná Pisaná, Slovensko",49.3966929679,21.622666195,research,2,Branislav Tej,https://www.inaturalist.org/observations/303662660?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547344664/small.jpg
303662621,2025-08-01,Malacolimax tenellus,slizniak žltý,Mollusca,"090 01 Vyšná Pisaná, Slovensko",49.3967387907,21.6227292269,research,1,Branislav Tej,https://www.inaturalist.org/observations/303662621?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547344500/small.jpg
302910828,2025-08-01,Russula,plávka,Fungi,"Vyšná Pisaná, Prešovský kraj, SK",49.3968383333,21.6223283333,needs_id,0,Ludka Reiterova,https://www.inaturalist.org/observations/302910828?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545928336/small.jpg
303662562,2025-08-01,Faustina faustina,faustína opásaná,Mollusca,"090 01 Vyšná Pisaná, Slovensko",49.3964876377,21.6230138764,research,2,Branislav Tej,https://www.inaturalist.org/observations/303662562?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547344394/small.jpg
303662536,2025-08-01,Limax cinereoniger,slizniak pásavý,Mollusca,"090 01 Vyšná Pisaná, Slovensko",49.3965699008,21.6229029,research,2,Branislav Tej,https://www.inaturalist.org/observations/303662536?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547344330/small.jpg
303662478,2025-08-01,Equisetum telmateia,praslička obrovská,Plantae,"090 01 Vyšná Pisaná, Slovensko",49.3962006978,21.6082945839,research,1,Branislav Tej,https://www.inaturalist.org/observations/303662478?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547344157/small.jpg
302911116,2025-08-01,Equisetum telmateia,praslička obrovská,Plantae,"Cesta 3539, Vyšná Pisaná, Prešovský kraj, SK",49.395655,21.6080666667,needs_id,1,Ludka Reiterova,https://www.inaturalist.org/observations/302911116?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545928880/small.jpg
302809320,2025-08-01,Cirsium arvense,pichliač roľný,Plantae,"Cesta 3543, Medvedie, Prešovský kraj, SK",49.4032783333,21.6380633333,research,1,Jaroslav Ilek,https://www.inaturalist.org/observations/302809320?locale=sk,https://static.inaturalist.org/photos/545934118/small.jpg
302911435,2025-08-01,Amanita excelsa,muchotrávka hrubá,Fungi,"Nižná Pisaná, Prešovský kraj, SK",49.3903916667,21.6152583333,research,1,Ludka Reiterova,https://www.inaturalist.org/observations/302911435?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545929471/small.jpg
303662365,2025-08-01,Helix pomatia,slimák záhradný,Mollusca,"090 01 Nižná Pisaná, Slovensko",49.3869345815,21.6223295778,research,1,Branislav Tej,https://www.inaturalist.org/observations/303662365?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547343794/small.jpg
303662313,2025-08-01,Macrothylacia rubi,priadkovec černicový,Insecta,"Medvedie, 090 05 Medvedie, Slovensko",49.3943236544,21.6378354281,research,2,Branislav Tej,https://www.inaturalist.org/observations/303662313?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547343607/small.jpg
302649319,2025-07-31,Lacerta agilis,jašterica krátkohlavá,Reptilia,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,3,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302649319?locale=sk,https://static.inaturalist.org/photos/545446794/small.jpg
303662233,2025-07-31,Lacerta agilis,jašterica krátkohlavá,Reptilia,"Medvedie, 090 05 Medvedie, Slovensko",49.4057351535,21.6335519403,research,4,Branislav Tej,https://www.inaturalist.org/observations/303662233?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547343406/small.jpg
302649719,2025-07-31,Lacerta agilis,jašterica krátkohlavá,Reptilia,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,3,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302649719?locale=sk,https://static.inaturalist.org/photos/545447657/small.jpg
302649956,2025-07-31,Scopula ornata,piadica okrášlená,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,1,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302649956?locale=sk,https://static.inaturalist.org/photos/545448119/small.jpg
302581268,2025-07-31,Stictocephala bisonia,tŕňovka býčia,Insecta,"Krajná Porúbka 30, 090 05 Krajná Porúbka, Slovensko",49.4115861611,21.6515623861,research,1,,https://www.inaturalist.org/observations/302581268?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545324382/small.jpg
302580828,2025-07-31,Bicolorana bicolor,kobylôčka zelenkastá,Insecta,"Krajná Porúbka 30, 090 05 Krajná Porúbka, Slovensko",49.4115756833,21.6513168806,research,1,,https://www.inaturalist.org/observations/302580828?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545323700/small.jpg
302650248,2025-07-31,Pieris rapae,mlynárik repový,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,needs_id,0,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302650248?locale=sk,https://static.inaturalist.org/photos/545448680/small.jpg
303662077,2025-07-31,Maniola jurtina,očkáň lúčny,Insecta,"090 05 Vyšný Komárnik, Slovensko",49.4077583608,21.7176318169,research,1,Branislav Tej,https://www.inaturalist.org/observations/303662077?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547342997/small.jpg
303068736,2025-07-31,Boletus reticulatus,hríb dubový,Fungi,"Príkra, Prešov, SK",49.3711666667,21.73745,research,1,Jaroslav Ilek,https://www.inaturalist.org/observations/303068736?locale=sk,https://static.inaturalist.org/photos/546231645/small.jpg
303662021,2025-07-31,Lycaena virgaureae,ohniváčik zlatobyľový,Insecta,"090 05 Vyšný Komárnik, Slovensko",49.4077618513,21.7177665979,research,1,Branislav Tej,https://www.inaturalist.org/observations/303662021?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547342854/small.jpg
302650404,2025-07-31,Graphosoma italicum italicum,,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,3,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302650404?locale=sk,https://static.inaturalist.org/photos/545448999/small.jpg
302650607,2025-07-31,Hesperia comma,súmračník bieloškvrnný,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,2,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302650607?locale=sk,https://static.inaturalist.org/photos/545449458/small.jpg
302581130,2025-07-31,Decticus verrucivorus,kobylka hryzavá,Insecta,"090 05 Krajná Porúbka, Slovensko",49.4084602139,21.6554447167,research,1,,https://www.inaturalist.org/observations/302581130?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545324131/small.jpg
302650809,2025-07-31,Trypocopris vernalis,lajniak hladký,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,needs_id,0,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302650809?locale=sk,https://static.inaturalist.org/photos/545449809/small.jpg
302911062,2025-07-31,Agelena labyrinthica,kútnik lievikovitý,Arachnida,"090 05 Krajná Porúbka, Slovensko",49.4088847972,21.6547011583,needs_id,1,,https://www.inaturalist.org/observations/302911062?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545928763/small.jpg
302560593,2025-07-31,Knautia arvensis,chrastavec roľný,Plantae,"Príkra, Prešovský kraj, SK",49.3670216667,21.740295,research,1,Jaroslav Ilek,https://www.inaturalist.org/observations/302560593?locale=sk,https://static.inaturalist.org/photos/545737360/small.jpg
302911634,2025-07-31,Rutpela maculata,fuzáč škvrnitý,Insecta,"Vyšný Komárnik, Prešovský kraj, SK",49.404625,21.7096333333,research,2,Ludka Reiterova,https://www.inaturalist.org/observations/302911634?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545929814/small.jpg
302807770,2025-07-31,Papilio machaon,vidlochvost feniklový,Insecta,"Svidník, SK-PV, SK",49.366975,21.7403416667,research,2,Jaroslav Ilek,https://www.inaturalist.org/observations/302807770?locale=sk,https://static.inaturalist.org/photos/545737383/small.jpg
302651116,2025-07-31,Papilio machaon,vidlochvost feniklový,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,2,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302651116?locale=sk,https://static.inaturalist.org/photos/545450451/small.jpg
302651507,2025-07-31,Psophus stridulus,koník červenokrídly,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,1,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302651507?locale=sk,https://static.inaturalist.org/photos/545451093/small.jpg
302581537,2025-07-31,Isophya stysi,kobylka Štysova,Insecta,"090 05 Krajná Porúbka, Slovensko",49.409103525,21.6544593417,needs_id,0,,https://www.inaturalist.org/observations/302581537?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545324858/small.jpg
302651710,2025-07-31,Boloria selene,perlovec dvanásťškvrnný,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,needs_id,0,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302651710?locale=sk,https://static.inaturalist.org/photos/545452392/small.jpg
302910845,2025-07-31,Araneus quadratus,križiak štvorškvrnný,Arachnida,"090 05 Krajná Porúbka, Slovensko",49.4094333,21.6540056997,needs_id,0,,https://www.inaturalist.org/observations/302910845?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545928334/small.jpg
302651993,2025-07-31,Rutpela maculata,fuzáč škvrnitý,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,1,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302651993?locale=sk,https://static.inaturalist.org/photos/545451981/small.jpg
302910583,2025-07-31,Stenobothrus lineatus,koník čiarkovaný,Insecta,"090 05 Krajná Porúbka, Slovensko",49.409716325,21.6541414139,research,1,,https://www.inaturalist.org/observations/302910583?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545927870/small.jpg
302652868,2025-07-31,Pisaura mirabilis,lovčík hôrny,Arachnida,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,needs_id,0,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302652868?locale=sk,https://static.inaturalist.org/photos/545453611/small.jpg
303661852,2025-07-31,Frangula alnus,krušina jelšová,Plantae,"090 05 Vyšný Komárnik, Slovensko",49.4039612334,21.7126502842,research,1,Branislav Tej,https://www.inaturalist.org/observations/303661852?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547342592/small.jpg
302653028,2025-07-31,Hogna radiata,strehúň južný,Arachnida,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,3,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302653028?locale=sk,https://static.inaturalist.org/photos/545454018/small.jpg
303661659,2025-07-31,Carabus auronitens,bystruška zlatá,Insecta,"090 05 Vyšný Komárnik, Slovensko",49.4087485545,21.7075111717,research,2,Branislav Tej,https://www.inaturalist.org/observations/303661659?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547342391/small.jpg
302911967,2025-07-31,Carabus variolosus,bystruška potočná,Insecta,"Vyšný Komárnik, Prešovský kraj, SK",49.4067716667,21.7043333333,research,3,Ludka Reiterova,https://www.inaturalist.org/observations/302911967?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545930347/small.jpg
302652618,2025-07-31,Carabus irregularis,,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,2,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302652618?locale=sk,https://static.inaturalist.org/photos/545453177/small.jpg
302554429,2025-07-31,Gonyodiscus rotundatus,rebrovček jablčastý,Mollusca,"Vyšný Komárnik, Prešovský kraj, SK",49.4071583333,21.7041216667,research,1,Ludka Reiterova,https://www.inaturalist.org/observations/302554429?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545274104/small.jpg
302554453,2025-07-31,Fomes fomentarius,práchnovec kopytovitý,Fungi,"Vyšný Komárnik, Prešovský kraj, SK",49.40732,21.7043533333,needs_id,0,Ludka Reiterova,https://www.inaturalist.org/observations/302554453?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545274168/small.jpg
348030453,2025-07-31,Centaurea,"nevädza, benedikt",Plantae,"Šarbov 11, 090 05 Šarbov, Slovensko",49.4273331767,21.630371511,needs_id,0,Martina Hajdukova,https://www.inaturalist.org/observations/348030453?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/664896464/small.jpg
348020576,2025-07-31,Betonica officinalis,betonika lekárska,Plantae,Šarbov,49.4273331767,21.630371511,research,1,Martina Hajdukova,https://www.inaturalist.org/observations/348020576?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/634649863/small.jpg
302553322,2025-07-31,Perforatella,dvojzubka,Mollusca,"Vyšný Komárnik, Prešovský kraj, SK",49.4075083333,21.704575,needs_id,1,Ludka Reiterova,https://www.inaturalist.org/observations/302553322?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545271787/small.jpg
302912123,2025-07-31,Amanita rubescens,muchotrávka červenkastá,Fungi,"Cesta 21, Vyšný Komárnik, Prešovský kraj, SK",49.4041633333,21.7044466667,research,1,Ludka Reiterova,https://www.inaturalist.org/observations/302912123?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545930637/small.jpg
302553400,2025-07-31,Amanita rubescens,muchotrávka červenkastá,Fungi,"Cesta 21, Vyšný Komárnik, Prešovský kraj, SK",49.4041633333,21.7044466667,research,1,Ludka Reiterova,https://www.inaturalist.org/observations/302553400?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545271957/small.jpg
302581709,2025-07-31,Prionus coriarius,Fuzáč hrubý,Insecta,"Medvedie 34, 090 05 Medvedie, Slovensko",49.4043216056,21.6349861667,research,1,,https://www.inaturalist.org/observations/302581709?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545325280/small.jpg
302911390,2025-07-30,Arctosa cinerea,strehúň brehový,Arachnida,"Ladomirová 239, 090 03 Ladomirová, Slovensko",49.3331932997,21.6331613,research,1,,https://www.inaturalist.org/observations/302911390?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/545929343/small.jpg
303661487,2025-07-30,Stictoleptura rubra,fuzáč obyčajný,Insecta,"090 05 Nižný Komárnik, Slovensko",49.3808197902,21.7182299495,research,1,Branislav Tej,https://www.inaturalist.org/observations/303661487?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547342107/small.jpg
302543841,2025-07-30,Bidens frondosa,dvojzub listnatý,Plantae,"Ladomirová 76, 090 03 Ladomirová, Slovensko",49.3333166667,21.6326611111,research,3,Benjamín Jarčuška,https://www.inaturalist.org/observations/302543841?locale=sk,https://static.inaturalist.org/photos/545252916/small.jpg
302543804,2025-07-30,Lutra lutra,vydra riečna,Mammalia,Slovakia,49.3173576541,21.7206893514,needs_id,0,Benjamín Jarčuška,https://www.inaturalist.org/observations/302543804?locale=sk,https://static.inaturalist.org/photos/545252861/small.jpg
303661289,2025-07-30,Bielzia coerulans,slizniak karpatský,Mollusca,"090 05 Nižný Komárnik, Slovensko",49.3802983302,21.7360803857,research,3,Branislav Tej,https://www.inaturalist.org/observations/303661289?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547341799/small.jpg
303661234,2025-07-30,Bielzia coerulans,slizniak karpatský,Mollusca,"090 05 Nižný Komárnik, Slovensko",49.3792294181,21.736125648,research,3,Branislav Tej,https://www.inaturalist.org/observations/303661234?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547341709/small.jpg
302543749,2025-07-30,Psophus stridulus,koník červenokrídly,Insecta,"Vápeník 33, 090 02 Vápeník, Slovensko",49.3972138889,21.5340472222,research,1,Benjamín Jarčuška,https://www.inaturalist.org/observations/302543749?locale=sk,https://static.inaturalist.org/photos/545252783/small.jpg
302333272,2025-07-30,Polygonia c-album,babôčka zubatokrídla,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,2,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302333272?locale=sk,https://static.inaturalist.org/photos/544862049/small.jpg
302333071,2025-07-30,Apatura iris,dúhovec väčší,Insecta,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,research,1,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302333071?locale=sk,https://static.inaturalist.org/photos/544861701/small.jpg
303661180,2025-07-30,Epipactis purpurata,Kruštík modrofialový,Plantae,"090 05 Nižný Komárnik, Slovensko",49.3775595376,21.7347148061,research,2,Branislav Tej,https://www.inaturalist.org/observations/303661180?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547341614/small.jpg
303661109,2025-07-30,Bufo bufo,ropucha bradavičnatá,Amphibia,"090 05 Nižný Komárnik, Slovensko",49.377955,21.7377033333,research,2,Branislav Tej,https://www.inaturalist.org/observations/303661109?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547341424/small.jpg
303661041,2025-07-30,Helix pomatia,slimák záhradný,Mollusca,"090 05 Nižný Komárnik, Slovensko",49.3789829779,21.7311182991,research,1,Branislav Tej,https://www.inaturalist.org/observations/303661041?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547341205/small.jpg
303660935,2025-07-30,Arion fuscus,slizovec hnedý,Mollusca,"090 05 Nižný Komárnik, Slovensko",49.3780858289,21.7311125994,needs_id,0,Branislav Tej,https://www.inaturalist.org/observations/303660935?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547341045/small.jpg
302543704,2025-07-30,Polistes nimpha,osa hojná,Insecta,"Havranec 9, 090 02 Havranec, Slovensko",49.412385856,21.5566731244,needs_id,0,Benjamín Jarčuška,https://www.inaturalist.org/observations/302543704?locale=sk,https://static.inaturalist.org/photos/545252760/small.jpg
326947871,2025-07-30,Lithosia quadra,lišajníkovec štvorbodý,Insecta,"Krajná Porúbka 13, 090 05 Krajná Porúbka, Slovensko",49.4142301445,21.6474370658,research,1,Martina Hajdukova,https://www.inaturalist.org/observations/326947871?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/592235610/small.jpg
304685858,2025-07-30,Plantae,rastliny,Plantae,"Svidník, SK-PV, SK",49.41350485,21.64845316,casual,0,Mariana Klementova,https://www.inaturalist.org/observations/304685858?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/549295532/small.jpg
303660863,2025-07-30,Erynnis tages,súmračník kotúčový,Insecta,"Nižný Komárnik, 090 05 Nižný Komárnik, Slovensko",49.3765416466,21.7195992172,research,1,Branislav Tej,https://www.inaturalist.org/observations/303660863?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547340883/small.jpg
302346094,2025-07-30,Andrena,pieskárka,Insecta,"Havranec 9, 090 02 Havranec, Slovensko",49.4135416667,21.5570194444,needs_id,0,Benjamín Jarčuška,https://www.inaturalist.org/observations/302346094?locale=sk,https://static.inaturalist.org/photos/544886668/small.jpg
302338584,2025-07-30,Tettigonia viridissima,Kobylka zelená,Insecta,"Havranec 12, 090 02 Havranec, Slovensko",49.4131736,21.5538519997,research,1,,https://www.inaturalist.org/observations/302338584?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/544872195/small.jpg
304685844,2025-07-30,Arum cylindraceum,áron alpínsky,Plantae,"Svidník, SK-PV, SK",49.40858102,21.64284714,research,2,Mariana Klementova,https://www.inaturalist.org/observations/304685844?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/549295491/small.jpg
302296741,2025-07-30,Equisetum telmateia,praslička obrovská,Plantae,"090 05 Medvedie, Slovensko",49.40674876,21.64128443,research,1,Mariana Klementova,https://www.inaturalist.org/observations/302296741?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/549295444/small.jpg
302917734,2025-07-30,Decticus verrucivorus,kobylka hryzavá,Insecta,"Medvedie, Prešovský kraj, SK",49.404045,21.6260883333,research,1,Jaroslav Ilek,https://www.inaturalist.org/observations/302917734?locale=sk,https://static.inaturalist.org/photos/545941411/small.jpg
302332814,2025-07-30,Oxyloma elegans,jantárovka úhľadná,Mollusca,"Medvedie, Prešovský kraj, SK",49.40145065,21.642167,needs_id,0,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302332814?locale=sk,https://static.inaturalist.org/photos/544861255/small.jpg
303052785,2025-07-30,Carabus granulatus,bystruška zrnitá,Insecta,"Tin Zaoutine, Alžírsko",49.3909855172,21.666085124,research,4,Martin Hromada,https://www.inaturalist.org/observations/303052785?locale=sk,https://static.inaturalist.org/photos/546201034/small.jpg
303660783,2025-07-30,Bielzia coerulans,slizniak karpatský,Mollusca,"Medvedie, 090 05 Medvedie, Slovensko",49.4056535602,21.6346845031,research,3,Branislav Tej,https://www.inaturalist.org/observations/303660783?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/547340702/small.jpg
302130788,2025-07-29,Frangula alnus,krušina jelšová,Plantae,"Cesta 3543, Medvedie, Prešovský kraj, SK",49.4052365942,21.6351121652,research,1,Jaroslav Ilek,https://www.inaturalist.org/observations/302130788?locale=sk,https://static.inaturalist.org/photos/544483566/small.jpg
302338765,2025-07-29,Tettigonia cantans,kobylka spevavá,Insecta,"Príkra 28, 090 05 Príkra, Slovensko",49.3636849997,21.7402632,research,1,,https://www.inaturalist.org/observations/302338765?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/544872558/small.jpg
302543654,2025-07-29,Psophus stridulus,koník červenokrídly,Insecta,"Príkra 23, 090 05 Príkra, Slovensko",49.3631194444,21.7412444444,research,1,Benjamín Jarčuška,https://www.inaturalist.org/observations/302543654?locale=sk,https://static.inaturalist.org/photos/545252584/small.jpg
302802792,2025-07-29,Calliptamus italicus,koník ružovokrídly,Insecta,"Príkra 23, 090 05 Príkra, Slovensko",49.3632722222,21.7412444444,research,1,Benjamín Jarčuška,https://www.inaturalist.org/observations/302802792?locale=sk,https://static.inaturalist.org/photos/545726769/small.jpg
302068712,2025-07-29,Arum cylindraceum,áron alpínsky,Plantae,"Nižný Komárnik 26, 090 05 Nižný Komárnik, Slovensko",49.3937486564,21.7272421718,research,1,Martin Hromada,https://www.inaturalist.org/observations/302068712?locale=sk,https://static.inaturalist.org/photos/544371393/small.jpg
302332293,2025-07-29,Iphiclides podalirius,vidlochvost ovocný,Insecta,"Krajná Porúbka, Prešovský kraj, SK",49.41706775,21.6506936,research,3,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302332293?locale=sk,https://static.inaturalist.org/photos/544860801/small.jpg
302121979,2025-07-29,Arum cylindraceum,áron alpínsky,Plantae,"090 05 Nižný Komárnik, Slovensko",49.3798901513,21.7177494988,research,1,Martina Hajdukova,https://www.inaturalist.org/observations/302121979?locale=sk,https://inaturalist-open-data.s3.amazonaws.com/photos/544855506/small.jpg
302065522,2025-07-29,Calocera viscosa,Parôžkovec lepkavý,Fungi,"Nižný Komárnik 26, 090 05 Nižný Komárnik, Slovensko",49.3808418359,21.7384152487,needs_id,0,Martin Hromada,https://www.inaturalist.org/observations/302065522?locale=sk,https://static.inaturalist.org/photos/544365296/small.jpg
302332006,2025-07-29,Lacerta agilis,jašterica krátkohlavá,Reptilia,"Krajná Porúbka, Prešovský kraj, SK",49.41706775,21.6506936,research,4,Silvi Karin Tkáčová,https://www.inaturalist.org/observations/302332006?locale=sk,https://static.inaturalist.org/photos/544860522/small.jpg
